Zipcode,Total; Estimate; Workers 16 years and over,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over",Public transportation (excluding taxicab); Estimate; Workers 16 years and over,Total; Estimate; Workers 16 years and over who did not work at home,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over who did not work at home","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over who did not work at home",Public transportation (excluding taxicab); Estimate; Workers 16 years and over who did not work at home
13331,193,90,0,0,90,90,0,0
13332,1284,1056,121,2,1218,1056,121,2
13333,11,6,5,0,11,6,5,0
13334,485,426,24,0,479,426,24,0
13335,819,602,62,37,764,602,62,37
13337,276,187,77,0,264,187,77,0
13338,444,363,63,0,439,363,63,0
13339,2975,2320,261,7,2766,2320,261,7
13340,3818,3180,387,0,3692,3180,387,0
13341,29,29,0,0,29,29,0,0
13342,106,78,0,0,88,78,0,0
13343,661,551,86,0,645,551,86,0
13345,91,71,17,0,91,71,17,0
13346,2502,1498,95,18,2324,1498,95,18
13348,596,485,80,6,587,485,80,6
13350,3863,3149,206,43,3713,3149,206,43
13352,79,79,0,0,79,79,0,0
13353,30,28,0,0,28,28,0,0
13354,1541,1220,227,0,1450,1220,227,0
13355,322,276,4,0,294,276,4,0
13357,4718,3914,450,10,4537,3914,450,10
13360,209,149,13,0,196,149,13,0
13361,424,310,46,7,386,310,46,7
13362,78,75,0,0,78,75,0,0
13363,1299,1119,98,11,1242,1119,98,11
13364,165,74,57,0,144,74,57,0
13365,4091,3348,378,2,3931,3348,378,2
13367,3630,2800,347,24,3453,2800,347,24
13368,582,481,71,0,570,481,71,0
13402,881,656,64,0,789,656,64,0
13403,2213,1891,77,23,2050,1891,77,23
13404,111,93,9,0,102,93,9,0
13406,377,298,33,3,345,298,33,3
13407,2277,1833,239,13,2158,1833,239,13
13408,1184,653,104,55,1117,653,104,55
13409,1486,1231,158,0,1431,1231,158,0
13410,120,98,18,0,116,98,18,0
13411,1557,1153,226,9,1450,1153,226,9
13413,7222,6450,336,33,6931,6450,336,33
13415,26,18,8,0,26,18,8,0
13416,940,735,80,10,848,735,80,10
13417,1821,1557,209,15,1792,1557,209,15
13418,169,141,18,0,169,141,18,0
13420,577,437,14,10,555,437,14,10
13421,6530,5172,662,15,6298,5172,662,15
13424,1226,1040,70,0,1187,1040,70,0
13425,1087,809,127,2,997,809,127,2
13428,585,393,108,0,528,393,108,0
13431,975,774,78,7,915,774,78,7
13433,592,412,86,0,559,412,86,0
13435,104,93,2,0,100,93,2,0
13436,77,53,4,0,74,53,4,0
13437,214,191,16,0,207,191,16,0
13438,1881,1654,85,2,1817,1654,85,2
13439,1715,1221,149,57,1522,1221,149,57
13440,17934,15160,1443,287,17616,15160,1443,287
13441,28,28,0,0,28,28,0,0
13450,94,41,43,0,84,41,43,0
13452,1931,1585,137,7,1867,1585,137,7
13454,321,222,47,5,314,222,47,5
13456,2271,1907,257,0,2204,1907,257,0
13459,1096,839,55,2,988,839,55,2
13460,2008,1558,214,0,1842,1558,214,0
13461,1547,1390,65,0,1475,1390,65,0
13464,558,401,52,7,494,401,52,7
13468,252,173,34,0,210,173,34,0
13469,342,266,35,0,307,266,35,0
13470,237,188,35,0,227,188,35,0
13471,1448,1187,166,3,1401,1187,166,3
13472,154,90,0,0,90,90,0,0
13473,349,272,39,9,333,272,39,9
13475,0,0,0,0,0,0,0,0
13476,1418,1204,152,0,1379,1204,152,0
13477,956,820,45,0,910,820,45,0
13478,1447,1368,51,0,1419,1368,51,0
13480,1573,1295,184,0,1552,1295,184,0
13483,122,99,22,0,121,99,22,0
13484,92,80,12,0,92,80,12,0
13485,400,307,42,0,365,307,42,0
13486,288,275,0,0,275,275,0,0
13488,109,87,0,0,89,87,0,0
13489,238,204,18,0,234,204,18,0
13490,746,613,58,0,671,613,58,0
13491,1640,1212,202,12,1528,1212,202,12
13492,5584,5050,375,56,5510,5050,375,56
13493,843,654,132,8,830,654,132,8
13494,150,132,4,0,143,132,4,0
13495,923,798,71,2,910,798,71,2
13501,13422,9952,1879,323,13091,9952,1879,323
13502,14969,11671,1572,388,14625,11671,1572,388
13601,17624,13746,2294,249,17166,13746,2294,249
13602,2532,655,584,14,2150,655,584,14
13603,3807,2755,668,39,3706,2755,668,39
13605,2168,1689,351,5,2113,1689,351,5
13606,1623,1381,114,3,1569,1381,114,3
13607,728,488,79,0,659,488,79,0
13608,654,533,82,3,632,533,82,3
13612,1376,1233,85,0,1338,1233,85,0
13613,980,757,120,0,919,757,120,0
13614,64,64,0,0,64,64,0,0
13615,541,516,10,0,535,516,10,0
13616,896,746,35,0,866,746,35,0
13617,4694,2908,312,2,4363,2908,312,2
13618,720,492,68,0,628,492,68,0
13619,5107,4317,505,10,4926,4317,505,10
13620,807,650,62,0,735,650,62,0
13621,257,209,33,11,257,209,33,11
13622,1279,1001,69,4,1156,1001,69,4
13623,54,45,3,3,51,45,3,3
13624,2298,1850,255,6,2217,1850,255,6
13625,788,672,56,0,737,672,56,0
13626,936,765,46,5,897,765,46,5
13628,150,134,8,0,150,134,8,0
13630,765,497,201,0,707,497,201,0
13633,187,130,8,0,168,130,8,0
13634,1810,1563,197,0,1800,1563,197,0
13635,334,304,8,5,322,304,8,5
13636,124,96,24,0,122,96,24,0
13637,1883,1504,172,6,1819,1504,172,6
13638,166,114,52,0,166,114,52,0
13639,49,41,5,0,46,41,5,0
13640,113,48,42,0,90,48,42,0
13641,26,26,0,0,26,26,0,0
13642,3560,2820,381,0,3387,2820,381,0
13643,29,29,0,0,29,29,0,0
13646,1203,757,222,15,1059,757,222,15
13647,17,17,0,0,17,17,0,0
13648,1011,823,128,0,1006,823,128,0
13650,432,324,35,2,407,324,35,2
13651,109,100,4,2,109,100,4,2
13652,622,481,85,0,607,481,85,0
13654,982,735,89,0,912,735,89,0
13655,1293,1185,79,0,1270,1185,79,0
13656,1344,1011,111,0,1204,1011,111,0
13658,984,784,69,0,945,784,69,0
13659,225,193,17,0,214,193,17,0
13660,1001,844,66,4,932,844,66,4
13661,726,586,101,0,697,586,101,0
13662,7306,5761,918,13,7110,5761,918,13
13664,265,200,13,4,252,200,13,4
13665,243,233,10,0,243,233,10,0
13666,93,74,10,0,84,74,10,0
13667,1239,947,193,0,1184,947,193,0
13668,1491,1182,139,2,1432,1182,139,2
13669,6313,4851,866,30,6144,4851,866,30
13670,150,119,16,0,135,119,16,0
13672,144,108,8,0,134,108,8,0
13673,1138,982,102,0,1112,982,102,0
13674,61,61,0,0,61,61,0,0
13675,0,0,0,0,0,0,0,0
13676,6865,4348,484,0,6394,4348,484,0
13677,35,0,35,0,35,0,35,0
13678,49,49,0,0,49,49,0,0
13679,710,492,141,2,644,492,141,2
13680,469,388,21,0,429,388,21,0
13681,362,253,71,5,354,253,71,5
13682,386,308,50,0,363,308,50,0
13684,453,385,52,0,439,385,52,0
13685,1173,908,82,6,1095,908,82,6
13687,217,177,27,0,210,177,27,0
13690,379,258,27,1,322,258,27,1
13691,1322,1004,248,0,1288,1004,248,0
13692,9,5,0,0,9,5,0,0
13693,175,162,0,0,162,162,0,0
13694,582,517,30,9,569,517,30,9
13695,28,12,10,0,25,12,10,0
13696,0,0,0,0,0,0,0,0
13697,901,611,90,0,795,611,90,0
13730,1346,938,226,36,1278,938,226,36
13731,391,234,29,30,353,234,29,30
13732,4217,3785,241,11,4091,3785,241,11
13733,2522,1906,276,38,2340,1906,276,38
13734,1264,1143,109,0,1264,1143,109,0
13736,1024,763,184,12,966,763,184,12
13739,441,339,45,0,397,339,45,0
13740,199,137,17,8,171,137,17,8
13743,1784,1555,113,11,1775,1555,113,11
13744,754,623,26,9,722,623,26,9
13746,1126,1059,59,0,1118,1059,59,0
13748,2000,1763,113,12,1903,1763,113,12
13750,395,311,58,0,378,311,58,0
13751,75,57,18,0,75,57,18,0
13752,399,294,30,4,342,294,30,4
13753,2382,1523,220,26,2034,1523,220,26
13754,1646,1170,247,15,1598,1170,247,15
13755,664,475,112,0,634,475,112,0
13756,286,239,21,4,286,239,21,4
13757,499,361,39,17,444,361,39,17
13760,21509,17388,2033,484,20677,17388,2033,484
13774,39,39,0,0,39,39,0,0
13775,811,479,205,3,776,479,205,3
13776,209,164,16,1,187,164,16,1
13777,325,316,6,3,325,316,6,3
13778,2760,2200,221,3,2597,2200,221,3
13780,372,229,101,0,372,229,101,0
13782,230,158,43,0,215,158,43,0
13783,972,775,111,12,958,775,111,12
13784,66,50,16,0,66,50,16,0
13786,204,166,16,0,192,166,16,0
13787,1538,1233,100,29,1434,1233,100,29
13788,444,300,53,6,396,300,53,6
13790,8251,6331,951,296,8062,6331,951,296
13794,40,34,6,0,40,34,6,0
13795,1899,1690,120,23,1871,1690,120,23
13796,661,544,58,2,643,544,58,2
13797,1015,860,92,4,980,860,92,4
13801,597,427,126,0,563,427,126,0
13802,267,265,0,0,265,265,0,0
13803,1821,1455,187,5,1694,1455,187,5
13804,186,154,10,10,180,154,10,10
13806,144,94,50,0,144,94,50,0
13807,594,366,74,52,541,366,74,52
13808,671,502,75,2,638,502,75,2
13809,641,551,40,0,627,551,40,0
13810,575,521,22,0,546,521,22,0
13811,2062,1719,188,7,1959,1719,188,7
13812,1151,896,134,35,1114,896,134,35
13813,427,361,46,0,413,361,46,0
13815,5852,4664,637,46,5706,4664,637,46
13820,9825,6219,1054,343,9340,6219,1054,343
13825,1731,1349,244,18,1700,1349,244,18
13826,0,0,0,0,0,0,0,0
13827,5543,4339,716,22,5285,4339,716,22
13830,1807,1482,145,10,1713,1482,145,10
13832,310,272,14,2,291,272,14,2
13833,1989,1699,171,0,1944,1699,171,0
13834,40,40,0,0,40,40,0,0
13835,711,570,96,6,683,570,96,6
13838,1801,1412,222,17,1795,1412,222,17
13839,847,554,172,3,762,554,172,3
13841,189,153,11,0,182,153,11,0
13842,270,223,20,5,265,223,20,5
13843,722,548,80,1,684,548,80,1
13844,311,249,31,0,283,249,31,0
13845,44,44,0,0,44,44,0,0
13846,122,109,0,0,109,109,0,0
13847,53,43,0,0,47,43,0,0
13849,1904,1488,285,4,1844,1488,285,4
13850,9835,8503,563,41,9377,8503,563,41
13856,2531,1833,406,64,2429,1833,406,64
13859,123,102,10,0,112,102,10,0
13860,41,32,0,0,41,32,0,0
13861,275,247,23,5,275,247,23,5
13862,2000,1708,174,0,1917,1708,174,0
13863,264,220,31,5,264,220,31,5
13864,573,418,106,1,560,418,106,1
13865,3058,2561,363,0,3017,2561,363,0
13901,8546,6612,1001,287,8224,6612,1001,287
13902,1530,112,105,10,1112,112,105,10
13903,8694,6906,725,316,8386,6906,725,316
13904,3940,3122,385,239,3883,3122,385,239
13905,11447,7775,1435,895,11056,7775,1435,895
14001,4633,4105,354,1,4499,4105,354,1
14004,5204,4532,283,10,5106,4532,283,10
14005,1112,959,45,8,1092,959,45,8
14006,4175,3498,460,33,4072,3498,460,33
14008,579,521,34,0,556,521,34,0
14009,2650,2031,337,20,2559,2031,337,20
14011,2925,2441,261,0,2831,2441,261,0
14012,999,883,62,0,972,883,62,0
14013,785,667,71,0,765,667,71,0
14020,11031,9264,789,65,10761,9264,789,65
14024,815,627,133,5,790,627,133,5
14025,1695,1526,75,0,1671,1526,75,0
14026,316,288,28,0,316,288,28,0
14028,620,551,40,0,600,551,40,0
14030,816,709,57,0,766,709,57,0
14031,4174,3698,209,48,4069,3698,209,48
14032,3686,3233,224,10,3550,3233,224,10
14033,1097,921,97,0,1038,921,97,0
14034,700,649,28,0,687,649,28,0
14035,10,0,10,0,10,0,10,0
14036,2663,2247,274,0,2634,2247,274,0
14037,496,454,18,0,482,454,18,0
14039,64,61,0,0,64,61,0,0
14040,1040,866,116,0,995,866,116,0
14041,106,97,9,0,106,97,9,0
14042,1851,1477,211,4,1782,1477,211,4
14043,11756,10311,866,78,11605,10311,866,78
14047,3553,3105,237,49,3502,3105,237,49
14048,6745,4985,913,48,6642,4985,913,48
14051,10187,8880,743,94,9864,8880,743,94
14052,8513,7444,405,29,8152,7444,405,29
14054,652,521,49,4,585,521,49,4
14055,628,515,63,0,601,515,63,0
14057,3907,3247,389,47,3758,3247,389,47
14058,1262,984,97,0,1214,984,97,0
14059,4559,4023,263,29,4373,4023,263,29
14060,258,193,47,0,255,193,47,0
14061,118,103,14,0,118,103,14,0
14062,1387,1158,128,0,1323,1158,128,0
14063,7085,5179,558,76,6874,5179,558,76
14065,777,620,77,18,735,620,77,18
14066,608,524,51,0,601,524,51,0
14067,2059,1764,268,0,2032,1764,268,0
14068,3093,2694,268,30,3015,2694,268,30
14069,333,251,50,11,327,251,50,11
14070,2328,1702,290,25,2266,1702,290,25
14072,9978,8811,696,69,9654,8811,696,69
14075,21614,18474,1820,202,21116,18474,1820,202
14080,2177,1797,231,0,2129,1797,231,0
14081,1240,1034,163,0,1227,1034,163,0
14082,226,209,12,5,226,209,12,5
14085,3646,3234,251,29,3578,3234,251,29
14086,16794,14764,1180,31,16455,14764,1180,31
14091,558,503,13,0,533,503,13,0
14092,4698,4085,346,14,4602,4085,346,14
14094,22848,19232,2007,204,22310,19232,2007,204
14098,1332,1038,171,2,1285,1038,171,2
14101,1115,808,144,9,1087,808,144,9
14102,872,767,16,0,858,767,16,0
14103,4437,3557,517,6,4285,3557,517,6
14105,2072,1577,208,0,1838,1577,208,0
14108,2860,2552,232,11,2821,2552,232,11
14109,247,48,15,0,215,48,15,0
14111,1427,1111,153,5,1363,1111,153,5
14112,0,0,0,0,0,0,0,0
14113,370,287,58,0,360,287,58,0
14120,21367,18617,1662,148,20911,18617,1662,148
14125,1829,1589,187,6,1806,1589,187,6
14126,270,232,0,0,232,232,0,0
14127,14457,12834,741,31,13953,12834,741,31
14129,693,562,75,0,655,562,75,0
14130,113,91,15,6,113,91,15,6
14131,2320,2135,113,12,2305,2135,113,12
14132,2950,2586,259,0,2891,2586,259,0
14134,30,30,0,0,30,30,0,0
14135,94,69,17,8,94,69,17,8
14136,2180,1912,153,0,2137,1912,153,0
14138,887,679,100,7,848,679,100,7
14139,906,767,39,0,835,767,39,0
14141,3859,2848,509,0,3699,2848,509,0
14143,550,476,59,3,544,476,59,3
14145,756,673,12,0,747,673,12,0
14150,20659,17728,1520,305,20272,17728,1520,305
14167,804,640,63,5,765,640,63,5
14168,24,24,0,0,24,24,0,0
14169,179,140,0,0,167,140,0,0
14170,1319,1186,43,0,1229,1186,43,0
14171,809,673,93,0,773,673,93,0
14172,1431,1199,134,0,1375,1199,134,0
14173,167,135,32,0,167,135,32,0
14174,2369,2229,75,1,2312,2229,75,1
14201,4670,2375,625,802,4564,2375,625,802
14202,1740,977,219,263,1680,977,219,263
14203,346,180,22,10,310,180,22,10
14204,3563,1877,263,1000,3527,1877,263,1000
14206,8907,7015,626,541,8826,7015,626,541
14207,8369,5534,1017,928,8100,5534,1017,928
14208,3554,2248,252,533,3468,2248,252,533
14209,3570,2385,173,506,3424,2385,173,506
14210,5858,4140,825,334,5784,4140,825,334
14211,7160,4636,570,1289,6896,4636,570,1289
14212,3638,2251,408,613,3592,2251,408,613
14213,8030,4839,976,1277,7912,4839,976,1277
14214,9193,6281,824,1264,8828,6281,824,1264
14215,15052,9840,1750,2107,14689,9840,1750,2107
14216,11818,9655,623,638,11559,9655,623,638
14217,11764,9468,1016,338,11553,9468,1016,338
14218,7790,5982,1122,254,7671,5982,1122,254
14219,5785,4905,543,125,5731,4905,543,125
14220,11368,9119,944,643,11219,9119,944,643
14221,25651,21866,1681,450,24528,21866,1681,450
14222,8563,5581,808,769,8124,5581,808,769
14223,11388,9645,908,315,11178,9645,908,315
14224,19576,17186,1407,94,19293,17186,1407,94
14225,16338,13926,1379,303,16111,13926,1379,303
14226,14092,11792,964,510,13743,11792,964,510
14227,10917,9777,840,54,10793,9777,840,54
14228,9406,8032,677,147,9193,8032,677,147
14261,1741,732,107,134,1631,732,107,134
14301,4644,3170,548,144,4615,3170,548,144
14302,0,0,0,0,0,0,0,0
14303,2170,1431,267,215,2147,1431,267,215
14304,14246,12261,1151,190,14032,12261,1151,190
14305,7684,6139,858,138,7586,6139,858,138
14411,5405,4531,536,63,5284,4531,536,63
14414,3736,3309,170,0,3614,3309,170,0
14415,67,67,0,0,67,67,0,0
14416,1744,1563,74,16,1735,1563,74,16
14418,516,369,41,0,482,369,41,0
14420,9429,7023,941,19,9184,7023,941,19
14422,1260,1063,96,12,1227,1063,96,12
14423,2646,2247,120,10,2557,2247,120,10
14424,12851,10561,1188,145,12373,10561,1188,145
14425,5229,4358,476,21,4960,4358,476,21
14427,979,744,182,6,960,744,182,6
14428,4402,3986,156,26,4282,3986,156,26
14432,2788,2298,302,0,2706,2298,302,0
14433,1862,1479,211,0,1807,1479,211,0
14435,1599,1383,121,19,1545,1383,121,19
14437,4317,3427,482,20,4212,3427,482,20
14441,131,94,30,0,124,94,30,0
14445,3979,3111,428,16,3904,3111,428,16
14450,20277,17344,1321,142,19289,17344,1321,142
14454,4387,2888,286,1,4231,2888,286,1
14456,9200,6621,910,97,8781,6621,910,97
14462,292,239,41,0,289,239,41,0
14464,3479,3037,334,6,3394,3037,334,6
14466,908,754,77,18,894,754,77,18
14467,4861,4033,496,0,4665,4033,496,0
14468,9102,7981,714,32,8919,7981,714,32
14469,3063,2465,330,12,2915,2465,330,12
14470,3443,3036,174,34,3350,3036,174,34
14471,1296,1111,95,0,1246,1111,95,0
14472,4387,3613,243,12,4031,3613,243,12
14475,116,99,0,0,106,99,0,0
14476,1096,999,49,0,1061,999,49,0
14477,892,803,33,0,854,803,33,0
14478,613,254,21,0,561,254,21,0
14479,251,221,30,0,251,221,30,0
14480,486,486,0,0,486,486,0,0
14481,861,733,78,0,837,733,78,0
14482,3918,3346,354,0,3798,3346,354,0
14485,2279,2000,108,14,2214,2000,108,14
14486,109,109,0,0,109,109,0,0
14487,3059,2627,202,20,2899,2627,202,20
14489,3118,2483,311,24,3073,2483,311,24
14502,5382,4489,508,29,5105,4489,508,29
14504,805,644,121,5,794,644,121,5
14505,2695,2232,164,0,2551,2232,164,0
14506,629,569,29,0,598,569,29,0
14507,558,489,34,0,541,489,34,0
14510,2187,1650,306,40,2103,1650,306,40
14511,214,190,24,0,214,190,24,0
14512,2188,1691,197,9,2057,1691,197,9
14513,6457,5426,658,0,6378,5426,658,0
14514,2583,2274,192,12,2513,2274,192,12
14516,976,778,71,0,943,778,71,0
14517,1285,965,116,3,1238,965,116,3
14519,5791,4960,571,39,5676,4960,571,39
14521,1015,764,145,3,991,764,145,3
14522,4933,3979,680,14,4824,3979,680,14
14525,1404,1139,135,3,1342,1139,135,3
14526,9594,8583,519,21,9251,8583,519,21
14527,6137,4656,537,38,5718,4656,537,38
14529,20,10,0,0,20,10,0,0
14530,2367,1757,389,0,2300,1757,389,0
14532,2250,1842,239,28,2213,1842,239,28
14533,1039,870,107,0,1015,870,107,0
14534,15087,13160,702,46,14254,13160,702,46
14536,298,230,35,0,293,230,35,0
14537,146,136,0,0,136,136,0,0
14539,116,116,0,0,116,116,0,0
14541,1240,1015,117,7,1183,1015,117,7
14542,23,23,0,0,23,23,0,0
14543,1765,1575,79,0,1662,1575,79,0
14544,1078,899,92,9,1018,899,92,9
14545,97,76,21,0,97,76,21,0
14546,2501,2144,236,4,2459,2144,236,4
14548,2444,2045,314,12,2394,2045,314,12
14549,19,8,0,0,19,8,0,0
14550,799,622,112,11,782,622,112,11
14551,2426,1895,388,19,2412,1895,388,19
14555,555,436,48,15,520,436,48,15
14559,8891,7904,488,80,8620,7904,488,80
14560,781,609,137,4,761,609,137,4
14561,1691,1366,146,0,1532,1366,146,0
14564,6944,5977,527,8,6568,5977,527,8
14568,3456,3223,122,0,3366,3223,122,0
14569,2834,2298,317,0,2767,2298,317,0
14571,650,532,51,0,644,532,51,0
14572,2391,2010,219,4,2300,2010,219,4
14580,24133,21348,1285,249,23244,21348,1285,249
14585,30,25,5,0,30,25,5,0
14586,5014,4247,538,3,4936,4247,538,3
14588,15,15,0,0,15,15,0,0
14589,3717,3129,178,64,3612,3129,178,64
14590,2229,1739,305,6,2149,1739,305,6
14591,910,719,133,3,865,719,133,3
14592,127,116,0,0,127,116,0,0
14604,528,245,26,30,493,245,26,30
14605,3748,2227,539,537,3660,2227,539,537
14606,11841,9508,1308,426,11548,9508,1308,426
14607,10508,8267,580,475,10000,8267,580,475
14608,4136,2397,485,708,4063,2397,485,708
14609,17981,14764,1510,880,17669,14764,1510,880
14610,7230,6121,465,76,6905,6121,465,76
14611,5557,3493,856,599,5397,3493,856,599
14612,18240,15982,1491,138,17841,15982,1491,138
14613,5047,3681,405,631,4876,3681,405,631
14614,5,5,0,0,5,5,0,0
14615,7488,5748,894,431,7296,5748,894,431
14616,12596,10657,1078,159,12247,10657,1078,159
14617,11466,9851,768,175,11011,9851,768,175
14618,10691,8129,1058,77,9963,8129,1058,77
14619,6487,4286,1097,690,6332,4286,1097,690
14620,12517,7774,1128,695,11821,7774,1128,695
14621,10663,6989,1581,837,10443,6989,1581,837
14622,5815,5258,264,34,5642,5258,264,34
14623,12352,8229,1141,593,12020,8229,1141,593
14624,18987,16500,1592,90,18534,16500,1592,90
14625,4927,4124,408,17,4682,4124,408,17
14626,13212,11742,950,23,12871,11742,950,23
14627,884,104,23,11,792,104,23,11
14701,17275,13586,1793,28,16852,13586,1793,28
14706,2782,2391,251,16,2729,2391,251,16
14707,99,78,4,0,96,78,4,0
14708,98,94,4,0,98,94,4,0
14709,655,499,61,6,604,499,61,6
14710,1594,1354,135,0,1527,1354,135,0
14711,681,508,92,8,662,508,92,8
14712,1457,1106,118,21,1254,1106,118,21
14714,234,149,23,7,202,149,23,7
14715,1277,1021,157,1,1253,1021,157,1
14716,907,801,61,0,884,801,61,0
14717,299,242,45,0,293,242,45,0
14718,895,802,34,3,889,802,34,3
14719,1358,1089,113,14,1318,1089,113,14
14720,267,252,6,0,267,252,6,0
14721,83,71,12,0,83,71,12,0
14722,62,24,13,12,62,24,13,12
14723,512,400,59,0,499,400,59,0
14724,938,679,68,4,849,679,68,4
14726,615,284,63,12,545,284,63,12
14727,2460,1955,337,19,2396,1955,337,19
14728,355,275,0,0,301,275,0,0
14729,442,361,33,3,416,361,33,3
14731,663,499,44,3,632,499,44,3
14732,71,60,8,0,71,60,8,0
14733,1844,1475,209,10,1835,1475,209,10
14735,1041,760,151,8,1015,760,151,8
14736,102,89,0,0,94,89,0,0
14737,1772,1313,213,0,1692,1313,213,0
14738,1741,1505,146,0,1730,1505,146,0
14739,1005,725,194,9,968,725,194,9
14740,689,545,74,0,655,545,74,0
14741,951,789,114,0,903,789,114,0
14742,51,51,0,0,51,51,0,0
14743,698,611,70,1,684,611,70,1
14744,984,356,76,4,900,356,76,4
14747,1120,940,75,6,1048,940,75,6
14748,318,226,31,0,296,226,31,0
14750,2053,1798,107,6,1965,1798,107,6
14752,87,58,0,0,68,58,0,0
14753,433,357,60,0,424,357,60,0
14754,294,200,80,7,287,200,80,7
14755,1372,1072,191,10,1342,1072,191,10
14756,0,0,0,0,0,0,0,0
14757,1293,1045,108,2,1251,1045,108,2
14760,8460,6517,916,161,8292,6517,916,161
14767,889,557,154,13,804,557,154,13
14769,478,431,39,0,470,431,39,0
14770,1418,1287,111,2,1409,1287,111,2
14772,1675,1312,151,17,1536,1312,151,17
14774,86,47,24,0,78,47,24,0
14775,947,798,65,6,882,798,65,6
14777,265,212,34,4,254,212,34,4
14778,560,212,20,50,554,212,20,50
14779,2835,2047,425,7,2759,2047,425,7
14781,968,702,82,3,892,702,82,3
14782,1157,974,88,0,1118,974,88,0
14783,171,117,34,0,171,117,34,0
14784,350,320,7,0,335,320,7,0
14787,1947,1671,49,0,1844,1671,49,0
14788,27,27,0,0,27,27,0,0
14801,2270,1806,243,3,2173,1806,243,3
14802,2041,370,62,0,1836,370,62,0
14803,484,385,55,0,469,385,55,0
14804,627,533,59,5,623,533,59,5
14805,422,341,41,16,398,341,41,16
14806,945,815,77,0,919,815,77,0
14807,1286,1062,150,3,1256,1062,150,3
14808,275,239,18,0,271,239,18,0
14809,975,822,51,10,911,822,51,10
14810,5153,4131,438,65,4985,4131,438,65
14812,1510,1173,227,0,1445,1173,227,0
14813,975,802,112,6,952,802,112,6
14814,1113,1033,80,0,1113,1033,80,0
14815,421,350,50,3,409,350,50,3
14816,278,250,5,3,267,250,5,3
14817,1355,893,333,20,1266,893,333,20
14818,784,737,9,7,753,737,9,7
14819,281,235,29,0,278,235,29,0
14820,301,261,27,0,290,261,27,0
14821,1444,1198,126,0,1371,1198,126,0
14822,497,429,28,4,489,429,28,4
14823,1488,1152,247,20,1441,1152,247,20
14824,390,308,50,4,367,308,50,4
14825,476,448,23,5,476,448,23,5
14826,1019,811,106,3,964,811,106,3
14827,0,0,0,0,0,0,0,0
14830,9231,7541,832,55,8900,7541,832,55
14836,458,400,48,0,458,400,48,0
14837,2254,1577,352,23,2093,1577,352,23
14838,706,613,74,4,694,613,74,4
14839,312,244,31,0,304,244,31,0
14840,1330,1077,120,0,1265,1077,120,0
14841,528,413,96,0,528,413,96,0
14842,397,279,84,0,397,279,84,0
14843,5506,4176,570,72,5259,4176,570,72
14845,9955,8773,667,59,9762,8773,667,59
14846,295,208,50,5,276,208,50,5
14847,1124,810,148,35,1053,810,148,35
14850,30261,14494,3228,2766,28012,14494,3228,2766
14853,1143,185,69,19,923,185,69,19
14854,0,0,0,0,0,0,0,0
14855,335,282,8,0,313,282,8,0
14856,31,0,11,0,31,0,11,0
14858,639,565,26,0,609,565,26,0
14859,495,376,103,6,489,376,103,6
14860,419,304,84,0,405,304,84,0
14861,586,488,75,0,570,488,75,0
14864,575,500,41,0,553,500,41,0
14865,1032,903,69,6,1018,903,69,6
14867,2427,1767,379,25,2201,1767,379,25
14869,629,510,79,11,602,510,79,11
14870,4071,3303,506,2,3932,3303,506,2
14871,2151,1862,148,45,2108,1862,148,45
14872,332,327,0,0,332,327,0,0
14873,1075,795,110,13,994,795,110,13
14874,156,117,39,0,156,117,39,0
14877,226,147,44,0,210,147,44,0
14878,278,209,7,0,216,209,7,0
14879,1000,893,63,5,985,893,63,5
14880,697,601,46,3,689,601,46,3
14881,0,0,0,0,0,0,0,0
14882,2097,1688,151,25,1921,1688,151,25
14883,2471,1867,301,35,2337,1867,301,35
14884,122,102,6,0,117,102,6,0
14885,424,323,43,0,403,323,43,0
14886,3273,2318,403,167,3119,2318,403,167
14889,632,519,73,5,622,519,73,5
14891,2120,1702,143,40,2032,1702,143,40
14892,3417,2749,438,30,3344,2749,438,30
14893,6,6,0,0,6,6,0,0
14894,608,489,85,3,579,489,85,3
14895,3948,3098,445,52,3862,3098,445,52
14897,399,313,51,1,377,313,51,1
14898,718,477,90,0,689,477,90,0
14901,5128,3738,382,134,4930,3738,382,134
14903,3333,2681,281,103,3247,2681,281,103
14904,6870,5749,535,68,6747,5749,535,68
14905,4351,3490,197,214,4238,3490,197,214
