"ï»¿zip_code";"median_income"
"10001";88701
"10002";37071
"10003";104972
"10004";128161
"10005";135514
"10006";130565
"10007";244705
"10009";63310
"10010";114711
"10011";118869
"10012";106039
"10013";108488
"10014";123964
"10016";106964
"10017";111225
"10018";109855
"10019";98396
"10020";0
"10021";120480
"10022";128824
"10023";119854
"10024";123514
"10025";83345
"10026";54243
"10027";44528
"10028";115919
"10029";33848
"10030";35119
"10031";43584
"10032";41716
"10033";48272
"10034";47536
"10035";28009
"10036";87289
"10037";41100
"10038";86349
"10039";33595
"10040";47711
"10044";90071
"10069";162161
"10103";0
"10111";0
"10112";0
"10115";0
"10119";0
"10128";108124
"10152";0
"10153";0
"10154";0
"10162";186240
"10165";0
"10167";0
"10169";0
"10170";0
"10171";0
"10172";0
"10173";0
"10177";0
"10271";0
"10278";0
"10279";0
"10280";152968
"10282";260372
"10301";58011
"10302";58181
"10303";57488
"10304";56077
"10305";77135
"10306";82012
"10307";80484
"10308";91123
"10309";97116
"10310";72072
"10312";92241
"10314";80987
"10451";27515
"10452";26840
"10453";23865
"10454";22447
"10455";24956
"10456";26941
"10457";27044
"10458";31598
"10459";25834
"10460";25085
"10461";57627
"10462";50319
"10463";58915
"10464";80108
"10465";76099
"10466";46194
"10467";36414
"10468";36439
"10469";59494
"10470";61280
"10471";84979
"10472";31176
"10473";38208
"10474";28017
"10475";48262
"11001";106550
"11003";95626
"11004";95010
"11005";65997
"11040";115641
"11101";54120
"11102";59025
"11103";65379
"11104";59526
"11105";65448
"11106";58783
"11201";114013
"11203";48920
"11204";49090
"11205";49405
"11206";32858
"11207";37336
"11208";39201
"11209";67885
"11210";61989
"11211";61645
"11212";29677
"11213";39114
"11214";54281
"11215";112666
"11216";54406
"11217";98910
"11218";63344
"11219";38090
"11220";42259
"11221";45160
"11222";76436
"11223";46499
"11224";32672
"11225";50613
"11226";46899
"11228";66281
"11229";57476
"11230";45142
"11231";87717
"11232";49767
"11233";37166
"11234";78488
"11235";47469
"11236";63411
"11237";48274
"11238";78900
"11239";25631
"11354";45471
"11355";40046
"11356";60249
"11357";77335
"11358";68918
"11360";86424
"11361";85241
"11362";86263
"11363";94195
"11364";73329
"11365";65102
"11366";81468
"11367";59687
"11368";47887
"11369";54016
"11370";55504
"11371";0
"11372";54982
"11373";47572
"11374";57854
"11375";76010
"11377";53819
"11378";64188
"11379";78445
"11385";63037
"11411";85066
"11412";74982
"11413";84108
"11414";73414
"11415";66712
"11416";61543
"11417";69757
"11418";65696
"11419";64587
"11420";64035
"11421";67222
"11422";88980
"11423";68811
"11426";80702
"11427";68211
"11428";71524
"11429";80233
"11430";0
"11432";54446
"11433";47721
"11434";59837
"11435";57561
"11436";69610
"11691";42899
"11692";44089
"11693";56062
"11694";82428
"11697";105095
